"month","division","line","day_type","category","count"
"2025-01-01",,,"1","Subway Car","8"
"2025-01-01","A DIVISION","2","1","Persons on Trackbed/Police/Medical","2"
"2025-01-01","A DIVISION","2","1","Signals","1"
"2025-01-01","A DIVISION","2","1","Subway Car","1"
"2025-01-01","A DIVISION","2","1","Track","1"
"2025-01-01","A DIVISION","3","1","Persons on Trackbed/Police/Medical","2"
"2025-01-01","A DIVISION","3","1","Track","3"
"2025-01-01","A DIVISION","4","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","A DIVISION","4","1","Signals","1"
"2025-01-01","A DIVISION","4","1","Stations and Structure","1"
"2025-01-01","A DIVISION","4","1","Track","1"
"2025-01-01","A DIVISION","5","1","Other","2"
"2025-01-01","A DIVISION","5","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","A DIVISION","6","1","Persons on Trackbed/Police/Medical","8"
"2025-01-01","A DIVISION","6","1","Track","1"
"2025-01-01","A DIVISION","6","2","Persons on Trackbed/Police/Medical","1"
"2025-01-01","A DIVISION","7","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","A DIVISION","7","1","Track","1"
"2025-01-01","B DIVISION","A","1","Signals","1"
"2025-01-01","B DIVISION","B","1","Persons on Trackbed/Police/Medical","2"
"2025-01-01","B DIVISION","C","1","Subway Car","1"
"2025-01-01","B DIVISION","D","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","B DIVISION","D","1","Signals","1"
"2025-01-01","B DIVISION","E","1","Signals","1"
"2025-01-01","B DIVISION","E","1","Subway Car","3"
"2025-01-01","B DIVISION","E","1","Track","1"
"2025-01-01","B DIVISION","E","2","Persons on Trackbed/Police/Medical","1"
"2025-01-01","B DIVISION","F","1","Persons on Trackbed/Police/Medical","2"
"2025-01-01","B DIVISION","F","1","Signals","1"
"2025-01-01","B DIVISION","F","1","Stations and Structure","1"
"2025-01-01","B DIVISION","F","1","Subway Car","7"
"2025-01-01","B DIVISION","L","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","B DIVISION","L","1","Signals","1"
"2025-01-01","B DIVISION","L","2","Stations and Structure","1"
"2025-01-01","B DIVISION","L","2","Track","1"
"2025-01-01","B DIVISION","N","1","Signals","1"
"2025-01-01","B DIVISION","N","1","Track","3"
"2025-01-01","B DIVISION","N","2","Subway Car","1"
"2025-01-01","B DIVISION","Q","1","Track","1"
"2025-01-01","B DIVISION","R","1","Persons on Trackbed/Police/Medical","1"
"2025-01-01","B DIVISION","R","1","Subway Car","5"
"2025-02-01",,,"1","Stations and Structure","1"
"2025-02-01",,,"1","Subway Car","5"
"2025-02-01","A DIVISION","1","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","A DIVISION","1","1","Signals","1"
"2025-02-01","A DIVISION","1","1","Stations and Structure","2"
"2025-02-01","A DIVISION","1","1","Track","1"
"2025-02-01","A DIVISION","1","2","Track","1"
"2025-02-01","A DIVISION","2","1","Persons on Trackbed/Police/Medical","2"
"2025-02-01","A DIVISION","2","1","Track","1"
"2025-02-01","A DIVISION","4","1","Signals","4"
"2025-02-01","A DIVISION","4","1","Track","1"
"2025-02-01","A DIVISION","4","2","Stations and Structure","1"
"2025-02-01","A DIVISION","5","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","A DIVISION","5","1","Signals","2"
"2025-02-01","A DIVISION","6","1","Persons on Trackbed/Police/Medical","3"
"2025-02-01","A DIVISION","7","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","A DIVISION","7","1","Signals","1"
"2025-02-01","A DIVISION","7","1","Track","1"
"2025-02-01","B DIVISION","A","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","B","1","Persons on Trackbed/Police/Medical","3"
"2025-02-01","B DIVISION","B","1","Subway Car","2"
"2025-02-01","B DIVISION","C","1","Signals","1"
"2025-02-01","B DIVISION","D","1","Signals","2"
"2025-02-01","B DIVISION","D","1","Subway Car","3"
"2025-02-01","B DIVISION","D","1","Track","1"
"2025-02-01","B DIVISION","E","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","E","1","Subway Car","4"
"2025-02-01","B DIVISION","E","1","Track","3"
"2025-02-01","B DIVISION","E","2","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","F","1","Stations and Structure","1"
"2025-02-01","B DIVISION","F","1","Track","3"
"2025-02-01","B DIVISION","JZ","1","Signals","1"
"2025-02-01","B DIVISION","L","1","Persons on Trackbed/Police/Medical","2"
"2025-02-01","B DIVISION","L","1","Signals","1"
"2025-02-01","B DIVISION","M","1","Signals","1"
"2025-02-01","B DIVISION","M","1","Subway Car","1"
"2025-02-01","B DIVISION","N","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","N","1","Subway Car","1"
"2025-02-01","B DIVISION","Q","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","R","1","Persons on Trackbed/Police/Medical","1"
"2025-02-01","B DIVISION","R","1","Subway Car","6"
"2025-02-01","B DIVISION","R","1","Track","2"
"2025-02-01","B DIVISION","R","2","Signals","1"
"2025-03-01",,,"1","Persons on Trackbed/Police/Medical","1"
"2025-03-01","A DIVISION","1","1","Persons on Trackbed/Police/Medical","1"
"2025-03-01","A DIVISION","1","1","Signals","1"
"2025-03-01","A DIVISION","2","1","Persons on Trackbed/Police/Medical","2"
"2025-03-01","A DIVISION","2","1","Signals","1"
"2025-03-01","A DIVISION","2","2","Signals","1"
"2025-03-01","A DIVISION","4","1","Persons on Trackbed/Police/Medical","1"
"2025-03-01","A DIVISION","4","1","Signals","1"
"2025-03-01","A DIVISION","5","1","Persons on Trackbed/Police/Medical","3"
"2025-03-01","A DIVISION","5","1","Signals","4"
"2025-03-01","A DIVISION","5","1","Stations and Structure","1"
"2025-03-01","A DIVISION","6","1","Persons on Trackbed/Police/Medical","1"
"2025-03-01","A DIVISION","6","1","Stations and Structure","1"
"2025-03-01","A DIVISION","7","1","Persons on Trackbed/Police/Medical","1"
"2025-03-01","A DIVISION","7","1","Track","1"
"2025-03-01","B DIVISION","A","1","Signals","1"
